PARCELA	SI4	GTOTAL	G21	VTOTAL	V21	NTOTAL	N21	Dg	Hdom	Ddom	Hart	Hg	SDI	Dg21
1299	17	16.83	15.19	95.35	92.18	596.93	437.78	18.95	11.71	33.9	37.56	10.05	367.57	21.02
1302	23	39.81	38.83	264.24	260.15	521.57	516.48	31.17	20.02	42.7	23.5	12.79	767.29	30.94
1303	20	22.32	20.98	136.77	132.45	369.62	355.46	27.73	15.77	34.7	35.44	12.08	443.12	27.41
1307	20	24.34	24.34	160.96	160.96	302.45	302.45	32.01	13.19	38.1	46.84	12.95	466.13	32.01
1311	23	29.31	29.31	174.03	174.03	757.14	757.14	22.2	12.44	32.9	31.39	10.85	615.03	22.2
1320	20	23.39	19.31	141.03	121.46	436.96	394.48	26.11	13.98	40.9	36.77	11.74	471.48	24.97
1321	17	35.56	29.32	202.34	177.19	651.76	617.24	26.36	15.16	34.1	27.76	11.79	715.08	24.59
1322	23	19.63	16.74	115.61	108.84	307.89	230.07	28.49	13.27	36.1	46.15	12.24	387	30.44
1328	20	27.38	27.38	134.27	134.27	1715.31	1715.31	14.26	7.92	23.3	32.76	8.76	642.18	14.26
1331	14	22.06	20.65	118.55	114.06	675.69	661.53	20.39	12.27	27.1	33.69	10.42	472.97	19.94
1338	14	28.84	28.84	169.87	169.87	700.5	700.5	22.9	13.69	32.6	29.66	11.02	600.79	22.9
1339	14	22.54	21.48	129.29	125.49	535.79	530.7	23.14	14.58	30.3	31.84	11.07	467.99	22.7
1395	14	29.14	29.14	151.46	151.46	1411.29	1411.29	16.21	8.14	25.8	35.14	9.32	661.21	16.21
1405	14	19.25	19.25	126.97	126.97	236.74	236.74	32.18	12.39	35.9	56.37	12.98	368.26	32.18
1406	14	23.88	23.88	140.85	140.85	562.53	562.53	23.25	9.72	32.4	46.61	11.1	495.44	23.25
1407	20	21.13	20.16	140.33	138.02	472.13	344.81	23.87	16.54	37.3	29.89	11.24	435.42	27.28
1416	17	15.36	15.36	91.28	91.28	329.07	329.07	24.38	8.98	29.9	65.97	11.35	314.92	24.38
1417	20	16.07	15.4	88.8	86.91	708.98	677.15	16.99	12.19	30.6	33.11	9.54	360.64	17.02
1427	14	18.97	18.97	102.27	102.27	764.04	764.04	17.78	8.85	27.2	43.93	9.75	420.83	17.78
1428	17	19.81	18.68	112.61	109.6	472.13	467.04	23.11	10.44	30.9	47.37	11.07	411.45	22.57
1440	14	22.56	19.44	137.4	128.01	386.82	386.82	27.25	12.95	37.6	42.19	11.98	449.79	25.3
1443	14	17.11	17.11	87.03	87.03	827.58	827.58	16.77	7.03	21.8	54.92	9.48	411.48	16.22
1444	14	26.96	26.96	173.29	173.29	399.52	399.52	29.31	14.72	36.8	36.52	12.41	527.74	29.31
1447	14	27.47	26.05	162.61	158.26	696.99	569.67	22.1	12.41	33.9	32.79	10.83	561.72	24.13
1462	23	21.5	21.5	136.41	136.41	346.86	346.86	28.09	10.01	35.2	48.04	12.16	425.33	28.09
1465	14	38.84	37.31	218.62	209.63	1338.8	1319.55	19.23	14	33.6	20.98	10.13	845.83	18.97
