P2;num;d1;d2;Htotal;Hcopa;
1;1;162;164;21,7;17,3;
1;2;121;119;18,1;14,9;
1;3;125;120;18,7;14,8;
1;4;136;131;15,9;12,3;
1;5;90;91;15,6;9,1;
1;6;140;134;19,9;14,7;
1;7;65;59;8,4;3,4;
1;8;149;146;20,3;15,8;
1;9;189;192;21,6;13,3;
1;10;60;60;10,5;4;
1;11;56;61;12,4;9,8;
1;12;83;76;16,3;10,7;
1;13;168;154;19,9;15,5;
1;14;142;136;19,5;12,4;
1;15;96;91;13,7;9,8;
1;16;193;187;21,2;13,1
1;17;109;114;14,1;9,9
1;18;147;147;17,3;12,1
1;19;120;121;18,3;15,5
1;20;80;80;16,4;13,2
1;21;229;225;24;14,8
1;22;200;204;24,3;17,2
1;23;155;160;23,2;16
1;24;149;155;21,3;16,3
1;25;81;81;12,7;7,7
1;26;103;107;15,4;10,6
1;27;99;93;16,5;11
1;28;212;218;23,5;15
1;29;78;69;10,6;6,1
1;30;136;138;20,2;15
1;31;122;123;19,3;10,3
1;32;116;109;19;14,6
1;33;190;214;23,9;15,4
1;34;145;159;21,3;15
1;35;152;157;21,6;16,2
1;36;127;131;21;15,7
1;37;103;105;18,5;8,2
1;38;103;101;16,5;12,7
1;39;165;173;24;17,3
1;40;131;138;18,3;14,6
1;41;191;195;20,6;16,5
1;42;67;70;10,1;8
1;43;121;123;18,3;15
1;44;80;79;12,3;6,9
1;45;224;224;24,2;17,5
1;46;168;166;21,6;16
1;47;61;61;9,3;7,5
1;48;188;187;23,7;17,4
1;49;61;59;11,2;5,1
1;50;79;75;13,2;6,7
1;51;126;120;19,4;14,3
1;52;32;33;6,9;5,7
1;53;178;173;19,5;13,7
1;54;105;112;18,2;14,8
1;55;76;72;12,9;8,7
1;56;75;82;11,7;3
1;57;166;169;22,4;17,9
1;58;129;131;19,7;15,5
1;59;162;157;21;11,8
1;60;96;94;14,4;10,7
1;61;165;171;21,9;16,7
1;62;131;128;19,8;15,1
1;63;77;73;13;10,8
1;64;135;129;19,4;16,5
1;65;190;180;23;16,8
1;66;170;168;22,5;17,1
